"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0041090000006",1,0,"2010",NA,2010,NA,2010,NA
"0041130000001",5,0,"2012",NA,2012,NA,2012,NA
"0041130000003",1,0,"2012",NA,2012,NA,2012,NA
"0041130000007",1,0,"2013",NA,2013,NA,2013,NA
"0041160000002",1,0,"2005",NA,2005,NA,2005,NA
"0041160000006",1,0,"2005",NA,2005,NA,2005,NA
"0041170000006",1,0,"2011",NA,2011,NA,2011,NA
"0041210000004",0,1,NA,"2009",NA,2009,NA,2009
"0041210000010",0,1,NA,"2010",NA,2010,NA,2010
"0041250000003",1,0,"2007",NA,2007,NA,2007,NA
"0041250000009",1,0,"2011",NA,2011,NA,2011,NA
"0041360000003",1,0,"2015",NA,2015,NA,2015,NA
"0041380000003",1,0,"2015",NA,2015,NA,2015,NA
"0041390000003",2,0,"2015",NA,2015,NA,2015,NA
"0041610000873",0,1,NA,"2012",NA,2012,NA,2012
"0041620000940",0,1,NA,"2012",NA,2012,NA,2012
"0041730000098",1,0,"2008",NA,2008,NA,2008,NA
"0041740000098",1,0,"2013",NA,2013,NA,2013,NA
"0041740000107",1,0,"2012",NA,2012,NA,2012,NA
"0041740010011",0,1,NA,"2014",NA,2014,NA,2014
"0041750000165",1,0,"2013",NA,2013,NA,2013,NA
"0041750000225",1,0,"2007",NA,2007,NA,2007,NA
"0041750000228",1,0,"2009",NA,2009,NA,2009,NA
"0041770000221",0,1,NA,"2012",NA,2012,NA,2012
"0041780000287",1,0,"2012",NA,2012,NA,2012,NA
"0041780000332",1,0,"2008",NA,2008,NA,2008,NA
"0041790000309",1,0,"2008",NA,2008,NA,2008,NA
"0042030090001",1,0,"2012",NA,2012,NA,2012,NA
"0042040110017",1,0,"2010",NA,2010,NA,2010,NA
"0042070200030",1,0,"2012",NA,2012,NA,2012,NA
"0042230000006",1,0,"2014",NA,2014,NA,2014,NA
"0042240000005",1,0,"2012",NA,2012,NA,2012,NA
"0042310000007",1,0,"2015",NA,2015,NA,2015,NA
"0042320000004",1,0,"2008",NA,2008,NA,2008,NA
"0050060000003",1,0,"2008",NA,2008,NA,2008,NA
"0050130000008",1,0,"2008",NA,2008,NA,2008,NA
"0050140000002",1,0,"2011",NA,2011,NA,2011,NA
"0050150000011",1,0,"2010",NA,2010,NA,2010,NA
"0050180000019",0,1,NA,"2010",NA,2010,NA,2010
"0050210000006",1,0,"2012",NA,2012,NA,2012,NA
"0050220000013",1,0,"2009",NA,2009,NA,2009,NA
"0050260000001",3,0,"2013",NA,2013,NA,2013,NA
"0050370000008",3,0,"2015",NA,2015,NA,2015,NA
"0050390000009",2,0,"2006, 2013",NA,2006,NA,2013,NA
"0050420000002",1,0,"2013",NA,2013,NA,2013,NA
"0050440000016",1,0,"2015",NA,2015,NA,2015,NA
"0050470000001",2,0,"2015",NA,2015,NA,2015,NA
"0050660000008",1,0,"2015",NA,2015,NA,2015,NA
"0050680000012",1,0,"2016",NA,2016,NA,2016,NA
"0050810000007",1,0,"2016",NA,2016,NA,2016,NA
"0050810000008",1,0,"2016",NA,2016,NA,2016,NA
"0050820000014",1,0,"2009",NA,2009,NA,2009,NA
"0050840000003",1,0,"2011",NA,2011,NA,2011,NA
"0050840000016",1,0,"2013",NA,2013,NA,2013,NA
"0050850000005",2,0,"2015",NA,2015,NA,2015,NA
"0050850000007",1,0,"2008",NA,2008,NA,2008,NA
"0050860000002",1,0,"2013",NA,2013,NA,2013,NA
"0050860000008",1,0,"2015",NA,2015,NA,2015,NA
"0050870000010",1,0,"2008",NA,2008,NA,2008,NA
"0050890000005",1,0,"2013",NA,2013,NA,2013,NA
