,account,permitID,agencyID,permitStatus,desc,stateClass,permitType,propertyType,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
,account,permitID,ERROR: KEY NOT FOUND,ERROR: KEY NOT FOUND,desc,ERROR: KEY NOT FOUND,permitTypeDesc,ERROR: KEY NOT FOUND,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
12752,690800020040,1277317,CITY OF HOUSTON,Complete,DEMO RES /SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/07/2011,2012,3878,NA,RUTH,NA,ST,NA
12753,690810000011,1361857,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/03/2013,2014,3515,NA,OAKDALE,NA,ST,NA
12756,690850000025,1,HARRIS COUNTY,Complete,FIRE RPR,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,09/13/2008,2010,209,W,JACKSON,NA,AV,NA
12759,690870630003,1175579,CITY OF HOUSTON,Complete,DEMO RES GARAGE/NO SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/19/2008,2009,6821,NA,KERNEL,NA,ST,NA
12760,690870630025,1143009,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/06/2008,2009,6814,NA,JAPONICA,NA,ST,NA
12761,690880060007,1427098,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC NOT NEEDED    **GARAGE ONLY***,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/18/2014,2016,6506,NA,KERNEL,NA,ST,NA
12763,690910000023,1205251,CITY OF HOUSTON,Complete,DEMO BLD / SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,08/31/2009,2010,1726,NA,AUGUSTA,NA,DR,NA
12764,690910000026,1195998,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,05/29/2009,2010,1724,NA,AUGUSTA,NA,DR,NA
12769,690950000024,1127171,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,10/04/2007,2009,10,NA,ROLLINGWOOD,NA,DR,NA
12771,690950000039,1410359,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC (POOL ONLY),ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/30/2014,2016,1615,NA,CRESTDALE,NA,DR,NA
12779,691050060009,1280408,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/02/2011,2012,4518,NA,KINGSBURY,NA,ST,NA
12780,691060080007,1408339,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/03/2014,2015,4514,NA,DEWBERRY,NA,ST,NA
12781,691060080014,1302385,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/06/2012,2013,4528,NA,DEWBERRY,NA,ST,NA
12782,691060080022,1396930,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/24/2014,2015,4519,NA,PERRY,NA,ST,NA
12783,691060080023,1126912,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/31/2007,2008,4517,NA,PERRY,NA,ST,NA
12786,691060100010,1295676,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,01/06/2012,2013,4620,NA,KEYSTONE,NA,ST,NA
12787,691060110004,1373871,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,10/11/2013,2014,4608,NA,KINGSBURY,NA,ST,NA
12788,691060110014,1334974,CITY OF HOUSTON,Complete,DEMO RES/GARAGE ONLY - NO SEWER DISC NEEDED,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/03/2012,2013,4627,NA,KEYSTONE,NA,ST,NA
12789,691070020005,1401257,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/20/2014,2015,7310,NA,LINDEN,NA,ST,NA
12790,691090090018,1335227,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISONNECT,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/05/2012,2013,7411,NA,GARDEN,NA,ST,NA
12804,691140000017,1209190,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,10/28/2009,2010,821,E,TIDWELL,NA,RD,NA
12805,691160010015,1125780,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,04/25/2007,2008,3830,NA,SOUTHMORE,NA,BL,NA
12806,691160030008,1197998,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/23/2009,2010,3837,NA,GERTIN,NA,ST,NA
12807,691160040021,1336138,CITY OF HOUSTON,Complete,DEMO RES/ SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/18/2012,2013,3825,NA,PALM,NA,ST,NA
12809,691200000140,1126437,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/13/2007,2008,2227,NA,SIMMANS,NA,ST,NA
12810,691220000047,1,ERROR: KEY NOT FOUND,Complete,DEMO,Other Exempt (Government),Commercial Demolition,Real Property Other Mineral Reserves,01/06/2003,2005,11305,NA,CLEMATIS,LN,NA,NA
12811,691220000072,928295,CITY OF HOUSTON,Complete,DEMO,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,04/27/2004,2005,5308,NA,GASMER,NA,DR,NA
12812,691220000072,928296,CITY OF HOUSTON,Complete,DEMO,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,04/27/2004,2005,5308,NA,GASMER,NA,DR,NA
12813,691220000072,928297,CITY OF HOUSTON,Complete,DEMO,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,04/27/2004,2005,5308,NA,GASMER,NA,DR,NA
12815,691220000083,1329337,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,10/18/2012,2013,11102,S,POST OAK,NA,RD,NA
12825,700020010025,1352162,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC-GARAGE ONLY,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/01/2013,2014,7619,NA,KERNEL,NA,ST,NA
