"account","permitID","agencyID","permitStatus","desc","stateClass","permitType","propertyType","issueDate","year","siteNo","sitePrefix","siteStreet","siteType","siteSuffix","siteApt"
"0031670000006","1126807","061","C","DEMO BLD/ SEWER DISC",NA,"13",NA,"08/22/2007",2008,"1003",NA,"BROOKS",NA,"ST",NA
"0031670000008","1125898","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"05/14/2007",2008,"1603",NA,"FULTON",NA,"ST",NA
"0031670000009","1416532","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"09/04/2014",2015,"1607",NA,"FULTON",NA,"ST",NA
"0031780000011","2","000","C","DEMO OF 1 BLDG PER PO","A1","13",NA,"05/29/2012",2013,NA,NA,NA,NA,NA,NA
"0031820000005","2","000","C",NA,"A1","13",NA,"12/30/1899",2015,NA,NA,NA,NA,NA,NA
"0031840000001","1263392","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"03/24/2011",2012,"1102",NA,"HOGAN",NA,"ST",NA
"0031930000001","1352787","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/08/2013",2014,"1700",NA,"GLASER",NA,"ZA",NA
"0031940000003","1","000","C","DEMO BLDG 2","A1","13",NA,"01/09/2015",2015,NA,NA,NA,NA,NA,NA
"0031960000028","1335286","061","C","DEMO GARAGE/SEWER DISCONNECT",NA,"13",NA,"12/06/2012",2013,"1919",NA,"KEENE",NA,"ST",NA
"0031980000001","1308211","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"10/18/2012",2013,"712",NA,"JAMES",NA,"ST",NA
"0031980000012","1281499","061","C","DEMO GARAGE/NO SEWER DISC NEEDED",NA,"13",NA,"08/18/2011",2012,"1911",NA,"EVERETT",NA,"ST",NA
"0032020000010","1","000","C","W/F CHECK FOR DEMO","B2","13",NA,"09/20/2005",2006,NA,NA,NA,NA,NA,NA
"0032030000003","1263747","061","C","DEMO RES/SEWER DISC GARAGE ONLY",NA,"33",NA,"03/30/2011",2012,"1109",NA,"HOGAN",NA,"ST",NA
"0032040000014","2",NA,"C","DEMO","B2","13",NA,"02/04/2013",2013,NA,NA,NA,NA,NA,NA
"0032150000021","1","000","C","DEMO","A1","13",NA,"01/01/2007",2007,NA,NA,NA,NA,NA,NA
"0032160000002","1125421","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"02/21/2007",2008,"406",NA,"PASCHALL",NA,"ST",NA
"0032160000022","1204100","061","C","DEMO BLD/SEWER DISC",NA,"13",NA,"08/13/2009",2010,"415",NA,"JAMES",NA,"ST",NA
